model,condition,family,snr_db,n_utterances,ref_words,wer,substitution_rate,insertion_rate,deletion_rate,length_ratio,mean_cer
e_branchformer-clean-ft,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.2456512515910055,0.14806957997454392,0.07254985150615188,0.025031820110309716,1.047518031395842,0.16308019499447418
e_branchformer-mct-ft,babble_-10db,babble,-10.0,100,2357,1.0661858294442088,0.8404751803139584,0.15231226134917267,0.07339838778107764,1.078913873568095,0.7781255608510054
e_branchformer-mct-ft,babble_-5db,babble,-5.0,100,2357,1.0012728044123886,0.7475604582095885,0.1989817564700891,0.054730589732711075,1.144251166737378,0.7018469426715302
e_branchformer-mct-ft,babble_0db,babble,0.0,100,2357,0.59439966058549,0.3635977938056852,0.21086126431904964,0.019940602460755196,1.1909206618582944,0.39281344597590995
e_branchformer-mct-ft,babble_20db,babble,20.0,100,2357,0.09843020789138736,0.04624522698345354,0.04369961815867628,0.00848536274925753,1.0352142554094188,0.06667254475798545
e_branchformer-mct-ft,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.0449724225710648,0.824777259227832,0.13703860840050913,0.0831565549427238,1.0538820534577853,0.7825269191530492
e_branchformer-mct-ft,clean,clean,,100,2357,0.09970301230377598,0.04582095884599067,0.044548154433602036,0.009333899024183284,1.0352142554094188,0.07140602532939835
e_branchformer-mct-ft,codec_opus_6k,codec_opus_6k,,100,2357,0.11837081035214256,0.06024607551972847,0.04794229953330505,0.010182435299109036,1.037759864234196,0.08826389292028747
e_branchformer-mct-ft,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.0738226559185404,0.8273228680526092,0.18370810352142555,0.06279168434450573,1.1209164191769199,0.7320398896357344
e_branchformer-mct-ft,noise_-10db,noise,-10.0,100,2357,0.45905812473483243,0.28935086974968177,0.14128128977513787,0.028425965210012727,1.1128553245651251,0.3398104738151783
e_branchformer-mct-ft,noise_-5db,noise,-5.0,100,2357,0.27407721680101826,0.16673737802291047,0.09249045396690708,0.014849384811200678,1.0776410691557063,0.1912177419915554
e_branchformer-mct-ft,noise_0db,noise,0.0,100,2357,0.15697921086126432,0.08570216376750106,0.0615188799321171,0.00975816716164616,1.051760712770471,0.10594488581916618
e_branchformer-mct-ft,noise_20db,noise,20.0,100,2357,0.09970301230377598,0.044548154433602036,0.04582095884599067,0.009333899024183284,1.0364870598218074,0.06899482472242116
e_branchformer-mct-ft,packet_loss_30pct,packet_loss_30pct,,100,2357,0.11540093338990241,0.05345778532032244,0.05388205345778532,0.008061094611794654,1.0458209588459906,0.07922098474416855
e_branchformer-mct-ft,reverb,reverb,,100,2357,0.11073398387781078,0.05515485787017395,0.04539669070852779,0.010182435299109036,1.0352142554094188,0.08086115101257693
e_branchformer-mct-ft,telephone,telephone,,100,2357,0.09673313534153585,0.044548154433602036,0.04369961815867628,0.00848536274925753,1.0352142554094188,0.06823305905303288
e_branchformer-mct-ft,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.21764955451845566,0.12728044123886295,0.07721680101824353,0.013152312261349173,1.0640644887568944,0.15181867241639393
wav2vec2-large,babble_-10db,babble,-10.0,100,2357,1.4136614340263047,0.9482392872295291,0.4607551972846839,0.004666949512091642,1.4560882477725923,0.9740497609395569
wav2vec2-large,babble_-5db,babble,-5.0,100,2357,1.3589308442935935,0.9066610097581672,0.44717861688587185,0.005091217649554518,1.4420873992363175,0.9395109511159654
wav2vec2-large,babble_0db,babble,0.0,100,2357,1.0059397539244803,0.6588884174798473,0.3292320746711922,0.017819261773440814,1.3114128128977514,0.700594087822127
wav2vec2-large,babble_20db,babble,20.0,100,2357,0.030547305897327112,0.024183283835383963,0.002969876962240136,0.0033941450997030122,0.9995757318625371,0.014661297399296818
wav2vec2-large,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.1378871446754348,0.9185405176071277,0.16758591429783623,0.05176071277047094,1.1158252015273653,0.8201141574650062
wav2vec2-large,clean,clean,,100,2357,0.02333474756045821,0.019940602460755196,0.0012728044123886295,0.0021213406873143827,0.9991514637250742,0.010365238463909068
wav2vec2-large,codec_opus_6k,codec_opus_6k,,100,2357,0.04624522698345354,0.037335596096733134,0.003818413237165889,0.005091217649554518,0.9987271955876114,0.026577569976655075
wav2vec2-large,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.4217225286380992,0.93805685193042,0.4819686041578278,0.0016970725498515061,1.4802715316079762,0.9897478710814256
wav2vec2-large,noise_-10db,noise,-10.0,100,2357,0.5057276198557489,0.25583368689011454,0.011455239711497667,0.2384386932541366,0.7730165464573611,0.3727298572458065
wav2vec2-large,noise_-5db,noise,-5.0,100,2357,0.3419601187950785,0.22358930844293592,0.014849384811200678,0.10352142554094187,0.9113279592702588,0.21772617797517327
wav2vec2-large,noise_0db,noise,0.0,100,2357,0.18498090793381416,0.14382689859991515,0.008061094611794654,0.03309291472210437,0.9749681798896903,0.09659281160640205
wav2vec2-large,noise_20db,noise,20.0,100,2357,0.02460755197284684,0.020364870598218072,0.0016970725498515061,0.002545608824777259,0.9991514637250742,0.012570264942663499
wav2vec2-large,packet_loss_30pct,packet_loss_30pct,,100,2357,0.03648705982180738,0.028850233347475603,0.0033941450997030122,0.004242681374628765,0.9991514637250742,0.016872522376541785
wav2vec2-large,reverb,reverb,,100,2357,0.03691132795927026,0.030547305897327112,0.0012728044123886295,0.005091217649554518,0.9961815867628341,0.017606976609320982
wav2vec2-large,telephone,telephone,,100,2357,0.02672889266016122,0.021213406873143825,0.0016970725498515061,0.003818413237165889,0.9978786593126856,0.012595573425755928
wav2vec2-large,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.23207467119219347,0.18031395842172254,0.009333899024183284,0.04242681374628765,0.9669070852778956,0.1254203113836744
wav2vec2-large-clean-ft,babble_-10db,babble,-10.0,100,2357,1.652524395417904,0.9164191769198133,0.731862537123462,0.004242681374628765,1.7276198557488334,1.2290723769464658
wav2vec2-large-clean-ft,babble_-5db,babble,-5.0,100,2357,1.6041578277471362,0.8896902842596521,0.7123462028001697,0.0021213406873143827,1.7102248621128553,1.169957930951206
wav2vec2-large-clean-ft,babble_0db,babble,0.0,100,2357,1.316079762409843,0.7165888841747985,0.5918540517607128,0.007636826474331778,1.584217225286381,0.9635882568225296
wav2vec2-large-clean-ft,babble_20db,babble,20.0,100,2357,0.028850233347475603,0.023759015697921087,0.002969876962240136,0.0021213406873143827,1.0008485362749258,0.011970992563995683
wav2vec2-large-clean-ft,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.49851506151888,0.9215103945693678,0.5714891811624947,0.005515485787017395,1.5659736953754773,1.080145313724948
wav2vec2-large-clean-ft,clean,clean,,100,2357,0.026304624522698345,0.021637675010606705,0.0021213406873143827,0.002545608824777259,0.9995757318625371,0.009485498948572132
wav2vec2-large-clean-ft,codec_opus_6k,codec_opus_6k,,100,2357,0.04327535002121341,0.03648705982180738,0.003818413237165889,0.002969876962240136,1.0008485362749258,0.0299171007296976
wav2vec2-large-clean-ft,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.6406448875689437,0.9117522274077217,0.7271955876113704,0.0016970725498515061,1.725498515061519,1.2086670379162348
wav2vec2-large-clean-ft,noise_-10db,noise,-10.0,100,2357,0.5269410267288926,0.353839626644039,0.04327535002121341,0.12982605006364023,0.9134492999575732,0.3938204505006938
wav2vec2-large-clean-ft,noise_-5db,noise,-5.0,100,2357,0.3534153585065762,0.2732286805260925,0.030547305897327112,0.04963937208315655,0.9809079338141705,0.22699909025215792
wav2vec2-large-clean-ft,noise_0db,noise,0.0,100,2357,0.1934662706830717,0.14340263046245227,0.025456088247772592,0.02460755197284684,1.0008485362749258,0.10275766334485212
wav2vec2-large-clean-ft,noise_20db,noise,20.0,100,2357,0.028425965210012727,0.023759015697921087,0.0021213406873143827,0.002545608824777259,0.9995757318625371,0.01408639352555854
wav2vec2-large-clean-ft,packet_loss_30pct,packet_loss_30pct,,100,2357,0.035214255409418756,0.02800169707254985,0.0033941450997030122,0.003818413237165889,0.9995757318625371,0.016817680892032737
wav2vec2-large-clean-ft,reverb,reverb,,100,2357,0.041154009333899025,0.035214255409418756,0.0033941450997030122,0.002545608824777259,1.0008485362749258,0.021365595648574553
wav2vec2-large-clean-ft,telephone,telephone,,100,2357,0.026304624522698345,0.02206194314806958,0.0016970725498515061,0.002545608824777259,0.9991514637250742,0.012473570003352513
wav2vec2-large-clean-ft,walkie_talkie_0db,walkie_talkie,0.0,100,2357,0.237165888841748,0.1934662706830717,0.024183283835383963,0.01951633432329232,1.0046669495120917,0.14103793785501806
wav2vec2-large-mct-ft,babble_-10db,babble,-10.0,100,2357,1.078913873568095,0.8896902842596521,0.1230377598642342,0.06618582944420874,1.0568519304200255,0.8202480453476767
wav2vec2-large-mct-ft,babble_-5db,babble,-5.0,100,2357,0.9461179465422147,0.7407721680101824,0.14552397114976665,0.05982180738226559,1.085702163767501,0.686721680192984
wav2vec2-large-mct-ft,babble_0db,babble,0.0,100,2357,0.39372083156554943,0.29910903691132795,0.06618582944420874,0.028425965210012727,1.037759864234196,0.27893355929429886
wav2vec2-large-mct-ft,babble_20db,babble,20.0,100,2357,0.027153160797624098,0.021637675010606705,0.002545608824777259,0.002969876962240136,0.9995757318625371,0.01376792359119288
wav2vec2-large-mct-ft,cellphone_in_crowd_-5db,cellphone_in_crowd,-5.0,100,2357,1.0899448451421299,0.910479422995333,0.14128128977513787,0.03818413237165889,1.103097157403479,0.8141910321996504
wav2vec2-large-mct-ft,clean,clean,,100,2357,0.02588035638523547,0.02078913873568095,0.0021213406873143827,0.002969876962240136,0.9991514637250742,0.010016455691198727
wav2vec2-large-mct-ft,codec_opus_6k,codec_opus_6k,,100,2357,0.04327535002121341,0.034789987271955876,0.004242681374628765,0.004242681374628765,1.0,0.02497680139655225
wav2vec2-large-mct-ft,far_field_surveillance_-5db,far_field_surveillance,-5.0,100,2357,1.0708527789563005,0.872719558761137,0.14806957997454392,0.05006364022061943,1.0980059397539246,0.7986199352217562
wav2vec2-large-mct-ft,noise_-10db,noise,-10.0,100,2357,0.3899024183283835,0.31268561731014,0.03691132795927026,0.04030547305897327,0.996605854900297,0.2749907587177651
wav2vec2-large-mct-ft,noise_-5db,noise,-5.0,100,2357,0.2189223589308443,0.17861688587187102,0.019940602460755196,0.020364870598218072,0.9995757318625371,0.14659286187053538
wav2vec2-large-mct-ft,noise_0db,noise,0.0,100,2357,0.09800593975392448,0.08230801866779805,0.0067882901994060245,0.008909630886720407,0.9978786593126856,0.055440285275765167
